0,99584 
1,99585 
0,99586 
1,99587 
0,99592 
1,149743 
0,199595 
1,249744 
0,299591 
1,349745 
0,399595 
1,449736 
0,499591 
1,549731 
0,599586 
1,649740 
0,699586 
1,699589 
0,699590 
1,749742 
0,799588 
1,799591 
0,799595 
1,849740 
0,899589 
1,949745 
0,999579 
1,999580 
0,999589 
1,999593 
0,999594 
1,1049739 
0,1099594 
1,1149744 
0,1199593 
1,1249746 
0,1299583 
1,1299585 
0,1299589 
1,1349740 
0,1399599 
1,1449740 
0,1499591 
1,1499593 
0,1499595 
1,1549730 
0,1599584 
1,1649738 
0,1699582 
1,1699583 
0,1699586 
1,1699588 
0,1699594 
1,1749738 
0,1799586 
1,1849740 
0,1849741 
1,1849742 
0,1899595 
1,1949743 
0,1999593 
1,2049731 
0,2099589 
1,2099590 
0,2099598 
1,2149737 
0,2199583 
1,2199585 
0,2199588 
1,2249740 
0,2299582 
1,2349742 
0,2399595 
1,2449726 
0,2449727 
1,2449743 
0,2499590 
1,2549739 
0,2599590 
1,2649744 
0,2699594 
1,2699598 
0,2699599 
1,2749743 
0,2799586 
1,2849741 
0,2899583 
1,2899584 
0,2899585 
1,2949736 
0,2999581 
1,3049737 
0,3099593 
1,3149738 
0,3199582 
1,3249738 
0,3299589 
1,3349740 
0,3399586 
1,3449737 
0,3499582 
1,3549730 
0,3599580 
1,3599581 
0,3599587 
1,3649736 
0,3699587 
1,3749742 
0,3799595 
1,3849744 
0,3899599 
1,3949745 
0,3999599 
1,4049735 
0,4099584 
1,4099586 
0,4099590 
1,4149725 
0,4199583 
1,4199586 
0,4199589 
1,4249726 
0,4249727 
1,4249740 
0,4299586 
1,4299589 
0,4299595 
1,4349734 
0,4399595 
1,4449740 
0,4499585 
1,4499586 
0,4499587 
1,4549732 
0,4599585 
1,4649735 
0,4699593 
1,4749733 
0,4799577 
1,4799578 
0,4799585 
1,4799586 
0,4799587 
1,4849741 
0,4899586 
1,4949736 
0,4999593 
1,5049733 
0,5099586 
1,5149733 
0,5199592 
1,5249723 
0,5249727 
1,5249738 
0,5299584 
1,5299588 
0,5299591 
1,5349741 
0,5399589 
1,5449723 
0,5499590 
1,5549729 
0,5599583 
1,5599587 
0,5599589 
1,5649738 
0,5699574 
1,5699575 
0,5699578 
1,5699579 
0,5699584 
1,5749739 
0,5799577 
1,5849742 
0,5899596 
1,5949728 
0,5949731 
1,5949735 
0,5999587 
1,6049728 
0,6099580 
1,6099582 
0,6099594 
1,6149740 
0,6199599 
1,6249742 
0,6299584 
1,6349742 
0,6399589 
1,6449741 
0,6499588 
1,6549740 
0,6599593 
1,6649736 
0,6699587 
1,6749744 
0,6799597 
1,6849728 
0,6849730 
1,6849734 
0,6899592 
1,6949724 
0,6949726 
1,6949730 
0,6949735 
1,6949740 
0,6999594 
1,7049733 
0,7099579 
1,7149733 
0,7199588 
1,7249732 
0,7299588 
1,7299590 
0,7299597 
1,7349747 
0,7399590 
1,7399592 
0,7399596 
1,7449741 
0,7499579 
1,7549736 
0,7599593 
1,7599594 
0,7599595 
1,7649731 
0,7699589 
1,7749735 
0,7799591 
1,7799592 
0,7799595 
1,7849733 
0,7899577 
1,7899578 
0,7899587 
1,7949736 
0,7999592 
1,7999596 
0,7999597 
1,8049734 
0,8099594 
1,8099595 
0,8099597 
1,8149738 
0,8199590 
1,8249742 
0,8299592 
1,8349740 
0,8399592 
1,8399596 
0,8399597 
1,8449742 
0,8499597 
1,8549738 
0,8599589 
1,8599592 
0,8599594 
1,8649733 
0,8649736 
1,8649738 
0,8699596 
1,8749733 
0,8799592 
1,8849743 
0,8899597 
1,8949737 
0,8949739 
1,8949742 
0,8999599 
1,9049741 
0,9099594 
1,9099595 
0,9099599 
1,9149742 
0,9199591 
1,9249747 
0,9299596 
1,9349738 
0,9399598 
1,9449732 
0,9499582 
1,9499583 
0,9499587 
1,9499589 
0,9499593 
1,9549735 
0,9599590 
1,9599591 
0,9599596 
1,9649739 
0,9699594 
1,9749744 
0,9799597 
1,9849735 
0,9899592 
1,9949741 
0,9999592 
1,10049744 
0,10099588 
1,10149741 
0,10199589 
1,10249742 
0,10299588 
1,10349740 
0,10399586 
1,10399591 
0,10399593 
1,10449742 
0,10499575 
1,10499577 
0,10499590 
1,10549733 
0,10599587 
1,10599588 
0,10599596 
1,10649744 
0,10699591 
1,10749742 
0,10799583 
1,10799584 
0,10799592 
1,10799596 
0,10799597 
1,10799599 
0,10799600 
1,10849738 
0,10899582 
